Processes,Algorithm,Avg_TAT,Avg_WT,Avg_FRT,Throughput,CPU_Util,Context_Switches,FRT_CI_lower,FRT_CI_upper
1000,ARRTQ,5702.759620656708,5691.799500656708,4082.8411757933245,0.07647270662829252,99.98091493308213,2120.98,4018.969078144961,4146.713273441688
1000,Balanced ARRTQ,5772.31675417511,5761.356634175109,3260.492963150241,0.07691701601720405,99.98081817894398,2044.96,3231.6269672627845,3289.3589590376973
2000,ARRTQ,11501.339260179417,11490.29650017942,8311.232771558749,0.07588768582160671,99.99133761727622,4270.92,8188.569152025575,8433.896391091923
2000,Balanced ARRTQ,11651.809410855933,11640.766650855938,6550.281848883199,0.07635640041440676,99.99127983475843,4109.12,6520.809186474956,6579.754511291442
3000,ARRTQ,17095.35645234382,17084.36463901049,12505.089107502346,0.07619868915086653,99.99310056541768,6397.78,12362.119161070383,12648.05905393431
3000,Balanced ARRTQ,17331.149259561975,17320.15744622864,9739.085065900086,0.07666289446057409,99.99305791986433,6159.4,9694.035762255258,9784.134369544914
4000,ARRTQ,22963.044566637152,22952.058101637154,16357.786497213552,0.07619383204727541,99.9949371521448,8554.44,16128.695941364555,16586.87705306255
4000,Balanced ARRTQ,23164.45736094855,23153.47089594855,12996.568366044145,0.07668290073362996,99.99490586313382,8219.86,12946.848426141187,13046.288305947102
5000,ARRTQ,28719.408583414213,28708.414103414216,20441.372516775085,0.07613828523761342,99.99613667983971,10699.16,20143.09991478272,20739.64511876745
5000,Balanced ARRTQ,28895.803382006212,28884.80890200621,16221.337801262505,0.0766598588255146,99.99611015542432,10252.6,16183.66553191005,16259.01007061496
6000,ARRTQ,34432.41947210493,34421.415902104935,24836.706918639447,0.07609559822309787,99.99677639375015,12828.84,24501.184540154918,25172.229297123977
6000,Balanced ARRTQ,34752.06035036678,34741.05678036678,19510.41698313829,0.0765930030699761,99.9967556178693,12316.76,19458.055320348987,19562.778645927592
7000,ARRTQ,40238.23763496458,40227.239466393155,28567.25030076835,0.07613353331556909,99.99749930030116,14958.7,28136.370533849746,28998.130067686958
7000,Balanced ARRTQ,40447.03767381737,40436.03950524594,22712.747257419825,0.0766440066116754,99.99748260887444,14346.7,22650.596669272465,22774.897845567186
8000,ARRTQ,45947.46113955889,45936.45684705888,32960.16366939559,0.07608545480525893,99.99743191553578,17111.96,32456.36637107821,33463.96096771297
8000,Balanced ARRTQ,46263.21659964311,46252.21230714311,25974.284796927244,0.07661514245869554,99.99741402363249,16385.32,25910.211119596373,26038.358474258115
9000,ARRTQ,51753.405100005715,51742.40194222792,36795.34470994309,0.07609561825897149,99.99822492662749,19245.76,36285.64680150813,37305.04261837806
9000,Balanced ARRTQ,52016.619988215876,52005.61683043808,29192.940741406583,0.07661664853770386,99.99821280941887,18441.68,29118.05363095934,29267.827851853825
10000,ARRTQ,57494.430274149934,57483.42253814994,41296.395482292304,0.07605938138541636,99.997491581913,21401.06,40705.250560612134,41887.540403972474
10000,Balanced ARRTQ,57874.54613586075,57863.538399860736,32521.41824027393,0.07659579205324052,99.99747412605328,20480.64,32440.524845782566,32602.311634765298
